,name,url,price,rating,nReviews
0,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-3,₹598,4.3 out of 5 stars,"10,923"
1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)  ,https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-4,"₹1,199",4.0 out of 5 stars,"54,205"
2,Skybags Brat Black 46 Cms Casual Backpack  ,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-5,₹669,4.1 out of 5 stars,"4,547"
3,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)  ,https://amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_14_trfob_0_B08WWG91Q3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹448,4.0 out of 5 stars,4
4,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent  ",https://amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_14_trfob_1_B09SB42QFQ?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹294,4.2 out of 5 stars,58
5,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow)  ,https://amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_14_trfob_2_B09H3H3898?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹298,4.1 out of 5 stars,83
6,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag)  ,https://amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7/ref=sxin_14_trfob_3_B07XJHP2C7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XJHP2C7&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹298,4.1 out of 5 stars,"1,519"
7,"Amazon Brand – Eono Canvas Tote Bag For Women - (Pack of 1), women tote bag, canvas tote bag, printed tote bag, printed canvas tote bag, stylish bags for women T9  ",https://amazon.in/Amazon-Brand-Canvas-printed-stylish/dp/B0BX3PW42J/ref=sxin_14_trfob_4_B0BX3PW42J?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BX3PW42J&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹349,4.5 out of 5 stars,2
8,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)  ,https://amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF/ref=sxin_14_trfob_5_B08WWTHLTF?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWTHLTF&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹415,5.0 out of 5 stars,1
9,AmazonBasics 27 Inch Nylon Foldable Travel Duffel Bag - Black  ,https://amazon.in/AmazonBasics-Foldable-Travel-Duffel-27-inch/dp/B01J24HEE4/ref=sxin_14_trfob_6_B01J24HEE4?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01J24HEE4&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,"₹1,699",4.4 out of 5 stars,753
